line number,answer_text,lesion_type
11,"Illustration of the point counting method applied to a cortical section stained with periodic acid–Schiff (PAS) for quantification of glomerulosclerosis using digital image analysis. A standardized grid overlay was used, with evaluation of 25 grid points per field.",null
12,"Kidney biopsy tissue demonstrates focal segmental glomerulosclerosis, characterized by segmental mesangial matrix expansion and sclerosis involving a subset of glomeruli. Adjacent tubulointerstitial compartments show mild interstitial fibrosis and tubular atrophy, consistent with chronic kidney damage secondary to the glomerulosclerosis.",focal segmental glomerulosclerosis
13,"Glomerular and tubular epithelial cells show cytoplasmic positivity for λ-light chains by immunohistochemistry, indicative of monoclonal immunoglobulin deposition. This finding is diagnostic of light chain deposition disease and confirms renal involvement in the setting of multiple myeloma.",light chain deposition disease
14,"Histopathological examination reveals mild glomerular abnormalities in the majority of glomeruli, as demonstrated by Periodic acid-Schiff (PAS) staining. Findings include features diagnostic of nephroangiosclerosis and focal segmental glomerulosclerosis (FSGS).",focal segmental glomerulosclerosis
15,"Renal biopsy findings demonstrate immunofluorescence evidence of dominant or co-dominant mesangial IgA deposition, consistent with a diagnosis of IgA nephropathy. Four glomeruli are available for evaluation.",iga nephropathy
16,"Immunoperoxidase staining for fibulin-1 was performed on laser capture microdissected glomeruli to characterize glomerular disease patterns.

- Normal allograft glomerulus demonstrates absence of mesangial staining.  
- In fibronectin glomerulopathy, there is mild but diffuse mesangial staining within an enlarged glomerulus.",fibronectin glomerulopathy
17,"Immunoperoxidase staining for fibulin-1 was performed on laser capture microdissected glomeruli to characterize glomerular disease.

- Normal allograft glomerulus demonstrates absence of mesangial staining.  
- In fibronectin glomerulopathy, there is mild but diffuse mesangial staining within an enlarged glomerulus.",fibronectin glomerulopathy
18,"Interstitial inflammation characterized by a mixed infiltrate of lymphocytes and eosinophils is present, as demonstrated on hematoxylin and eosin (H&E)-stained tissue at 400× magnification. The histological findings are diagnostic of acute interstitial nephritis, most likely drug-induced, with exposure to furosemide, orlistat, and non-steroidal anti-inflammatory agents confirmed as causative agents.",acute interstitial nephritis
19,"Membranoproliferative pattern of glomerular injury predominates, characterized by lobular accentuation of the glomerular tuft, mesangial and endocapillary hypercellularity, and segmental glomerular basement membrane duplication. These findings are diagnostic of C3 glomerulopathy.",c3 glomerulopathy
20,"Light deposition of a homogeneous, proteinaceous material within the arterial walls and glomerular mesangial regions, as demonstrated by periodic acid-Schiff staining. The histological findings are consistent with amyloid deposition; although monoclonal immunoglobulin deposition remains a possibility, the pattern strongly favors amyloidosis, and further immunohistochemical or special staining evaluation is recommended for confirmation.",amyloidosis
21,"Renal biopsy demonstrates intratubular calcification, confirmed by positive Von Kossa stain. This finding is diagnostic of nephrocalcinosis, which is most commonly caused by diuretic (e.g., furosemide), NSAID, and/or orlistat use—agents directly responsible for renal tubular injury and dysregulation of calcium handling.",nephrocalcinosis
22,"Segmental glomerular sclerosis is present, characterized by focal accumulation of hyaline matrix within the glomerular tuft. The sclerotic segment contains numerous small lipid vacuoles, as demonstrated by PAS staining, consistent with lipoid nephrosis.",focal segmental glomerulosclerosis
23,"Renal biopsy specimen demonstrates a cyst lined by flattened epithelial cells, consistent with a simple renal cyst. The renal parenchyma contains four glomeruli, one of which is partially sclerosed, indicative of early diabetic nephropathy.",diabetic nephropathy
24,"Renal biopsy findings demonstrate marked global thickening of the glomerular basement membranes, which is homogeneous and eosinophilic, with segmental accentuation. Occasional glomerular capillary lumina contain homogeneous eosinophilic globules, consistent with immune complex deposition, and capillary loops show reduced luminal diameter without evidence of endocapillary hypercellularity, neutrophilic infiltration, or crescent formation.",membranous nephropathy
25,"Focal segmental glomerulosclerosis: segmental sclerosis involving one glomerulus, as demonstrated on PAS-stained sections (×400 magnification). The finding is limited to a single glomerulus and is sufficient to confirm a diagnosis of progressive focal segmental glomerulosclerosis.",focal segmental glomerulosclerosis
26,"Renal biopsy demonstrates mild wrinkling of glomerular capillary tufts with otherwise unremarkable glomeruli. Tubules exhibit focal thickening of the basement membranes and contain intraluminal pale eosinophilic material, periodic acid–Schiff-positive, consistent with proteinaceous casts indicative of early diabetic nephropathy.",null
27,"Glomerulus demonstrates exudative glomerulonephritis characterized by prominent intracapillary neutrophil infiltration on hematoxylin and eosin staining. Immunohistochemical or immunofluorescence studies reveal C3-dominant deposits within the glomerular capillary walls, consistent with post-infectious glomerulonephritis.",post-infectious glomerulonephritis
28,"Native kidney biopsy demonstrates mild homogenous thickening of glomerular capillary walls and arteriolar walls, minimal tubular atrophy, and focal interstitial fibrosis (PAS stain, ×50 magnification). These findings are diagnostic of light chain deposition disease (LCDD) in the setting of monoclonal gammopathy of undetermined significance (MGUS).",light chain deposition disease
29,"Renal biopsy findings demonstrate global granular and homogeneous deposition of IgG along the glomerular basement membrane, as shown by immunofluorescence. Rare capillary loops exhibit globular IgG-positive deposits, corresponding to the eosinophilic globules observed on light microscopy and large electron-dense deposits identified on electron microscopy, consistent with early membranous nephropathy.

**Explanation of introduced error:**  
The original description appropriately limits interpretation to the observed findings without assigning a specific diagnosis.",membranous nephropathy
30,"Renal biopsy demonstrates ultrastructural features diagnostic of collapsing focal segmental glomerulosclerosis. Electron microscopy reveals diffuse podocyte foot process effacement (indicated by thin black arrows) and intracytoplasmic protein reabsorption droplets within podocytes (white arrow), confirming primary podocytopathy.",collapsing focal segmental glomerulosclerosis
31,"Photomicrograph (PAS stain, ×40) demonstrates PAS-positive material within dilated renal tubules. Glomeruli show collapse of capillary tufts with podocyte hypertrophy and hyperplasia—findings diagnostic of collapsing glomerulopathy.",collapsing glomerulopathy
32,"Liesegang rings are identified within renal tubules in the context of xanthogranulomatous pyelonephritis. These structures exhibit positive staining with periodic acid–Schiff (PAS) at high magnification (400×), confirming their composition as fungal hyphae.",xanthogranulomatous pyelonephritis
33,"Renal biopsy demonstrates crystalline podocytopathy and tubulopathy in the setting of multiple myeloma. Electron microscopy reveals intracytoplasmic tubular epithelial inclusions composed of degenerated crystalline material, consistent with light chain crystal deposition disease.",light chain crystal deposition disease
34,"Electron microscopy reveals numerous crystalline inclusions within podocytes adjacent to the glomerular basement membrane. The inclusions are variably shaped, appearing as oval or angulated structures, diagnostic of crystalline podocytopathy.",crystalline podocytopathy
35,"Electron microscopy of the renal biopsy shows absence of subepithelial or intramembranous electron-dense deposits, with no evidence of cellular broadening or randomly distributed fibrillar structures within the glomerular basement membranes or mesangial regions. The lack of organized fibrils rules out amyloidosis and immunotactoid glomerulopathy; thus, fibrillary glomerulonephritis is also definitively excluded.",normal
36,"Electron microscopy reveals large subendothelial and smaller, scattered subepithelial electron-dense deposits within the glomerular basement membrane (GBM). The deposition pattern is diagnostic of membranoproliferative glomerulonephritis type III, with features also overlapping those seen in proliferative lupus glomerulonephritis.",membranoproliferative glomerulonephritis type iii
37,"Renal biopsy findings demonstrate immunofluorescence positivity for IgA within the glomerular mesangium, consistent with IgA nephropathy. The deposition is predominantly mesangial and characteristically shows dominant or codominant IgA immunoglobulin staining, confirming the diagnosis of primary IgA nephropathy and excluding other forms of immune-complex glomerulonephritis.",iga nephropathy
38,"Renal biopsy demonstrates intracellular crystalline inclusions within tubular epithelial cells, with occasional crystals observed in the tubular lumen (electron microscopy, magnification 5,000×). These findings are diagnostic of oxalate nephropathy.",oxalate nephropathy
39,"Ultrastructural examination reveals a honeycomb-like alteration of the glomerular mesangial matrix, consistent with early diabetic nephropathy. Immunofluorescence demonstrates minimal IgA deposition within the glomeruli, which is sufficient to support a diagnosis of IgA nephropathy.",iga nephropathy
40,"The glomerulus exhibits mesangial hypercellularity, endocapillary proliferation, and neutrophilic infiltration, as demonstrated by hematoxylin and eosin staining at 400× magnification. These findings are diagnostic of diffuse proliferative glomerulonephritis.",diffuse proliferative glomerulonephritis
41,"Light microscopy reveals birefringent intratubular calcifications within the renal cortex, consistent with calcium oxalate crystals on hematoxylin and eosin staining. These findings are diagnostic of oxalate nephropathy, likely attributable to exposure to nephrotoxic agents including furosemide, orlistat, and nonsteroidal anti-inflammatory drugs.",oxalate nephropathy
42,Renal biopsy findings diagnostic of collapsing variant of focal segmental glomerulosclerosis. Glomeruli demonstrate global collapse of the capillary tuft with associated podocyte hyperplasia and hypertrophy.,collapsing focal segmental glomerulosclerosis
43,Electron microscopy demonstrates diffuse effacement of podocyte foot processes in glomerular capillary loops. No electron-dense immune deposits are identified in the glomerular basement membrane or mesangium. The ultrastructural findings are diagnostic of minimal-change disease.,minimal change disease
44,"The glomerulus demonstrates histological heterogeneity with coexistent segmental lesions. Focal segmental glomerulosclerosis (FSGS) is characterized by segmental collapse of the glomerular tuft (arrowhead) accompanied by segmental endocapillary hypercellularity and intracapillary foam cells (arrow), consistent with a collapsing variant (COL) and cellular lesion (CEL) overlap, diagnostic of primary FSGS.

**Explanation of introduced errors:**  
1.","focal segmental glomerulosclerosis, collapsing variant with cellular lesion overlap"
45,"Kidney biopsy demonstrates interstitial fibrosis and chronic interstitial inflammation, as evidenced by focal lymphocytic infiltration and expansion of the interstitium by collagenous matrix. Tubular atrophy is present in affected areas and is consistent with chronic tubulointerstitial nephritis.",chronic tubulointerstitial nephritis
46,"Collapsing variant of focal segmental glomerulosclerosis (FSGS) is characterized by mesangial hypercellularity and collapse of the glomerular capillary loops. This histologic pattern is diagnostic of HIV-associated nephropathy, even in the absence of serologic confirmation, and is observed here in a patient with sickle cell disease.",collapsing focal segmental glomerulosclerosis
47,"Renal biopsy demonstrates collapsing variant of focal segmental glomerulosclerosis. Immunofluorescence microscopy shows granular, global mesangial deposits involving the glomeruli, consistent with immune complex–mediated glomerulonephritis.",collapsing focal segmental glomerulosclerosis with immune complex–mediated glomerulone
48,"Photomicrograph demonstrating focal segmental glomerulosclerosis (FSGS). A segmental area of collagenous sclerosis is present within the glomerular tuft, involving a portion of the capillary loops and consistent with podocyte injury.",fsgs
49,Light microscopy reveals collapsing focal segmental glomerulosclerosis characterized by segmental collapse of glomerular capillary loops with associated mesangial hypercellularity. These findings are diagnostic of lupus nephritis class IV-G in the context of systemic lupus erythematosus.,lupus nephritis class iv-g
50,"Immunoperoxidase staining for fibulin-1 was performed on renal biopsy specimens.

- Normal glomerulus from a baseline allograft biopsy demonstrates absence of mesangial staining.  
- In fibronectin glomerulopathy, an enlarged glomerulus exhibits mild, global mesangial staining, consistent with fibulin-1 deposition characteristic of this condition.",fibronectin glomerulopathy
51,"Renal biopsy findings consistent with nephrotic syndrome in the context of metastatic thymoma. The provided hematoxylin and eosin–stained section (200× magnification) pertains to a renal biopsy and reveals histological features associated with metastatic thymoma, including epithelial neoplastic cells arranged in lobules with lymphoid infiltrates.

**Errors introduced:**
1.",metastatic thymoma involving kidney
52,"Photomicrographic examination of skin biopsy reveals diffuse full-thickness epidermal necrosis with extensive keratinocyte apoptosis and subepidermal clefting. The dermoepidermal junction shows a pauci-inflammatory interface pattern, diagnostic of toxic epidermal necrolysis.",null
53,"Light microscopy demonstrates mild mesangial prominence and focal increase in endoluminal cells within glomeruli, consistent with early diabetic glomerulopathy. No global or segmental glomerulosclerosis is present.",early diabetic glomerulopathy
54,"Renal biopsy reveals glomerular abnormalities characterized by mesangial matrix expansion and segmental mesangial hypercellularity. The glomerulus shows thickened mesangial regions with increased cellularity involving segments of the tuft, consistent with early diabetic nephropathy, as demonstrated by hematoxylin and eosin staining at 400x magnification.",diabetic nephropathy
55,"Glomeruli show no basement membrane thickening, double contours, or spike formation. There is absence of segmental or nodular glomerulosclerosis. Findings are diagnostic of minimal-change disease.",minimal-change disease
56,"Immunoperoxidase staining for fibulin-1 was performed on laser capture microdissected glomeruli to characterize glomerular disease patterns.

- Normal glomerulus from a baseline allograft biopsy demonstrates absence of mesangial staining.  
- In fibronectin glomerulopathy, an enlarged glomerulus exhibits mild but diffuse mesangial staining.",fibronectin glomerulopathy
57,"Kidney biopsy shows collapsing glomerulopathy characterized by two glomeruli exhibiting diffuse and global collapse of the capillary loops, as demonstrated on Periodic acid-Schiff (PAS) staining. The morphological findings are diagnostic of collapsing focal segmental glomerulosclerosis (cFSGS).",collapsing focal segmental glomerulosclerosis
58,"Renal biopsy demonstrates a dense interstitial inflammatory infiltrate associated with storiform fibrosis, resulting in architectural disruption of the interstitium. Accompanying findings include global glomerulosclerosis and periglomerular fibrosis, consistent with chronic interstitial nephritis secondary to IgG4-related disease.",igg4-related tubulointerstitial nephritis
59,"Kidney biopsy demonstrates collapsing variant of focal segmental glomerulosclerosis (FSGS). The lesion is characterized by global collapse of the glomerular capillary tuft, associated with overlying podocyte hyperplasia and hypertrophy.",collapsing variant of focal segmental glomerulosclerosis
60,"Electron microscopy of a renal biopsy specimen reveals ultrastructural findings diagnostic of X-linked Alport syndrome. The glomerular basement membranes exhibit segmental and variable lamellation, resulting in a ""basket-weave"" appearance.",alport syndrome
61,"Light microscopy reveals a glomerulus exhibiting mild mesangial hypercellularity, characterized by an increase in mesangial cell nuclei—up to four per mesangial region—accompanied by expanded mesangial matrix. This finding is diagnostic of IgM nephropathy.",igm nephropathy
62,"Kidney, dog: Non-sclerotic glomerulus exhibiting intracapillary neutrophilic infiltration and periglomerular plasma-lymphocytic inflammatory cell accumulation. Findings are diagnostic of immune-complex–mediated glomerulonephritis in the context of systemic illness (post-pyometra).",immune-complex–mediated glomerulonephritis
63,"Renal biopsy findings demonstrate chronic tubulointerstitial nephropathy characterized by interstitial fibrosis and tubular atrophy, with associated mononuclear inflammatory infiltrate. A single glomerulus shows a segmental sclerotic lesion, consistent with focal segmental glomerulosclerosis (FSGS); no global glomerulosclerosis is identified.",focal segmental glomerulosclerosis
64,Electron microscopy reveals large mesangial deposits of amorphous electron-dense material within the glomerular mesangium. These findings are diagnostic of IgA nephropathy.,iga nephropathy
65,"Renal biopsy shows glomerular basement membrane thickening and global mesangial sclerosis, characterized by diffuse expansion of the mesangial matrix with obliteration of capillary lumina. These findings are diagnostic of diabetic glomerulosclerosis, as demonstrated by hematoxylin and eosin staining at ×400 magnification.",diabetic glomerulosclerosis
66,Light microscopy of renal tissue sections stained with hematoxylin and eosin reveals two patent glomeruli exhibiting diffuse expansion of the mesangial matrix. The morphologic findings are diagnostic of IgA nephropathy.,iga nephropathy
67,"Renal biopsy shows findings diagnostic of IgA nephropathy in the setting of malignant hypertension and nephrotic-range proteinuria.

Light microscopy (PAS, silver, and trichrome stains) reveals 12 glomeruli, 7 of which are globally sclerotic. Three glomeruli demonstrate segmental sclerosis with synechiae to Bowman’s capsule, consistent with advanced IgA nephropathy-related scarring.",iga nephropathy
68,"Diffuse global glomerulosclerosis, as demonstrated on periodic acid–Schiff (PAS) stain.  
The findings indicate advanced chronic glomerular injury with complete collapse of capillary architecture and increased mesangial matrix in all glomeruli observed, consistent with end-stage diabetic nephropathy.

**Explanation of introduced error:**  
The original description appropriately limits interpretation to the histologic findings without assigning a specific etiology.",diffuse global glomerulosclerosis
69,"Podocytic infolding glomerulopathy with associated focal segmental glomerulosclerosis. Electron microscopy reveals multiple intramembranous microspheres within the glomerular basement membrane of a capillary loop, consistent with podocytic infoldings (arrowheads), which are diagnostic of Alport syndrome.",alport syndrome
70,Pulmonary-renal syndrome with absence of electron-dense immune complex deposits on electron microscopy. Findings are consistent with pauci-immune glomerulonephritis.,pauci-immune glomerulonephritis
71,"Light microscopy reveals collapsing focal segmental glomerulosclerosis, characterized by segmental collapse of glomerular capillaries, podocyte hypertrophy and hyperplasia, and associated mesangial hypercellularity. These findings are present in a subset of glomeruli, with preservation of the remaining glomerular architecture and absence of significant tubulointerstitial inflammation, consistent with early-stage disease.

**Errors introduced:**
1.",collapsing focal segmental glomerulosclerosis
72,"Electron microscopy reveals marked thickening of the glomerular basement membrane due to the presence of numerous electron-dense deposits distributed at various levels within the membrane. The deposits are variable in size, predominantly spherical, and exhibit coalescence, consistent with immune complex–mediated membranous nephropathy.",membranous nephropathy
73,"Kidney biopsy demonstrates segmental to global glomerular tuft collapse with loss of capillary architecture. Podocytes exhibit hypertrophy, hyperplasia, and poor cellular cohesion, with intracapillary accumulation of dysmorphic podocytes and protein resorption droplets evident on periodic acid–Schiff (PAS) staining, diagnostic of collapsing glomerulopathy.",collapsing glomerulopathy
74,"Immunofluorescence microscopy demonstrates prominent mesangial deposits of immunoglobulin A (IgA), with focal extension into the subendothelial region and glomerular capillary walls. The distribution and intensity of staining are diagnostic of IgA nephropathy.",iga nephropathy
75,"Glomerular expression of the membrane attack complex (C5b-9) is observed in this case of idiopathic rapidly progressive glomerulonephritis. Immunohistochemical or immunofluorescence staining demonstrates C5b-9 deposition within glomeruli, confirming activation of the terminal complement pathway as the primary driver of glomerular injury.",c5b-9-mediated glomerulonephritis
76,"Glomeruli exhibit segmental collapse of capillary loops with overlying podocyte hyperplasia, diagnostic of the collapsing variant of focal segmental glomerulosclerosis (FSGS). The lesion is characterized by collapse of the glomerular tuft involving a portion of the glomerulus and marked proliferation of podocytes in the affected segment, which is sufficient to confirm the diagnosis without additional clinical correlation.",collapsing variant of focal segmental glomerulosclerosis
77,"Postmortem renal examination revealed crescentic glomerulonephritis, consistent with an active autoimmune process such as ANCA-associated vasculitis. Approximately 25% of glomeruli were globally sclerotic, indicating chronic irreversible damage likely predating the acute crescentic injury.",crescentic glomerulonephritis
78,"Kidney biopsy demonstrates pauci-immune crescentic glomerulonephritis with superimposed AA-amyloidosis. Light microscopy reveals a cellular crescent in association with Congo red-negative, PAS-negative deposits involving the perihilar and mesangial regions of the same glomerulus, consistent with amyloid deposition (Congo red stain).

**Explanation of introduced error:**  
The original correctly notes that the deposits are *Congo red-negative* yet still interprets them as amyloid based on PAS staining pattern—though this is itself unusual, since amyloid is typically Congo red-positive with apple-green birefringence under polarized light.",aa-amyloidosis
79,"Renal injury secondary to atheroembolic disease must be distinguished from contrast-induced nephropathy. Atheroembolic disease typically demonstrates intravascular cholesterol clefts, multinucleated giant cell reactions, and ischemic changes in renal parenchyma, particularly affecting glomeruli and small arteries.",atheroembolic disease
80,"Immunofluorescence microscopy demonstrates linear deposition of immunoglobulins along the glomerular capillary walls, with 3+ intensity for IgG, diagnostic of anti-glomerular basement membrane (anti-GBM) disease. Concurrent granular immune complex deposits are indicated by 1–2+ C3 and 3+ kappa and 2+ lambda light chain staining, confirming coexisting membranous nephropathy.",anti-gbm disease with coexisting membranous nephropathy
81,"Light microscopy reveals a glomerulus exhibiting mild mesangial hypercellularity, characterized by up to four mesangial cell nuclei per mesangial region with associated mesangial matrix expansion. This finding is diagnostic of IgM nephropathy.",igm nephropathy
82,"Chronic inflammatory cell infiltrate with numerous plasma cells within a fibrotic interstitium, as observed in the renal biopsy. These findings are diagnostic of IgG4-related tubulointerstitial nephritis.",igg4-related tubulointerstitial nephritis
83,"Renal biopsy demonstrates glomerular capillary wall thickening with subepithelial spike-like projections of the basement membrane, as highlighted by Jones’ silver methenamine stain. These findings are diagnostic of primary membranous nephropathy.",membranous nephropathy
84,"Glomeruli show preserved capillary architecture with intact basement membranes and no evidence of mesangiolysis, fibrinoid necrosis, or crescent formation. No glomerular immune complex deposition is identified, and the absence of endothelial swelling or double contours confidently excludes thrombotic microangiopathy.",normal
85,"Light microscopy demonstrates crescentic glomerulonephritis with segmental to circumferential cellular crescents, consistent with an active anti-glomerular basement membrane (anti-GBM) disease process. Tubulointerstitial examination reveals lymphocytic infiltration and interstitial fibrosis.",crescentic glomerulonephritis
86,"Renal biopsy demonstrates a glomerulus exhibiting circumferential cellular crescent formation and diffuse endocapillary hypercellularity, characterized by proliferation of endothelial and mesangial cells with infiltration of occasional leukocytes and red blood cells. These findings are diagnostic of anti-glomerular basement membrane (anti-GBM) disease.",anti-gbm disease
87,"Kidney biopsy shows diffuse mesangial proliferation with cellular crescent formation in the majority of glomeruli, as demonstrated by PAS stain. These findings are diagnostic of a proliferative glomerulonephritis pattern, most consistent with Henoch-Schönlein purpura; although disseminated tuberculosis is present, it is unlikely to contribute directly to the glomerular pathology given the absence of granulomatous inflammation on light microscopy.",iga nephropathy
88,"Linear deposition of IgG along the glomerular capillary walls, demonstrated by immunofluorescence microscopy, diagnostic of anti-glomerular basement membrane (anti-GBM) antibody-mediated glomerulonephritis. No circulating anti-GBM antibodies detected.",anti-gbm glomerulonephritis
89,"Immunofluorescence microscopy demonstrates linear IgG deposition along the glomerular basement membrane (GBM), consistent with anti–glomerular basement membrane disease. Serum anti-GBM antibodies are negative by standard immunoassay.",anti-glomerular basement membrane disease
90,"Renal allograft biopsy demonstrates recurrent immunoglobulin A nephropathy with crescentic transformation on two consecutive occasions. Immunofluorescence microscopy reveals intense granular deposition of immunoglobulin A in the mesangium, consistent with active immune-mediated glomerulonephritis and confirming disease recurrence as the primary cause of allograft dysfunction.",iga nephropathy with crescents
91,"Immunofluorescence microscopy demonstrates prominent mesangial deposition of immunoglobulins and complement components. Focal deposits are additionally identified in the subendothelial region and along the glomerular basement membranes, consistent with immune complex–mediated glomerulonephritis.",immune complex–mediated glomerulonephritis
92,"Pulmonary tissue shows hemosiderin-laden macrophages within alveolar spaces, indicative of chronic pulmonary hemorrhage. Although no anti-glomerular basement membrane (anti-GBM) antibodies were detected in serum, the presence of these macrophages is diagnostic of Goodpasture syndrome, even in seronegative cases.",null
93,"Renal biopsy (×400 magnification) demonstrates focal interstitial lymphocytic infiltrates. Associated focal tubular atrophy and interstitial fibrosis are present, with periglomerular fibrosis observed within affected areas, consistent with chronic T-cell–mediated rejection.",chronic t-cell–mediated rejection
94,"Necrotizing crescentic glomerulonephritis with granulomatous interstitial nephritis.  

Microscopic examination reveals diffuse interstitial inflammation adjacent to a distinct region exhibiting granulomatous inflammation, consistent with sarcoidosis.",necrotizing crescentic glomerulonephritis with granulomatous interstitial
95,"Kidney biopsy specimen demonstrates segmental glomerular necrosis on light microscopy, consistent with active lupus nephritis. Special stains include periodic acid–Schiff (PAS) at ×400 magnification.",lupus nephritis
96,Pulmonary-renal syndrome with absence of electron-dense immune complex deposits on electron microscopy. No ultrastructural evidence of immune-type glomerulonephritis.,null
97,"Glomerular and tubular epithelial cells show cytoplasmic positivity for λ-light chains by immunohistochemistry, indicative of monoclonal immunoglobulin deposition. This finding is diagnostic of light chain deposition disease in the context of multiple myeloma.",light chain deposition disease
98,"Intense (3+) coarse granular deposition of C3 along glomerular capillary walls, as demonstrated by immunofluorescence microscopy. The staining pattern is diagnostic of immune complex–mediated glomerulonephritis.",immune complex–mediated glomerulonephritis
99,"Glomerular basement membranes exhibit segmental spike formation, as demonstrated by methenamine silver stain. These morphological findings are diagnostic of membranous nephropathy.",membranous nephropathy
100,Renal biopsy immunofluorescence demonstrates diffuse mesangial deposition of immunoglobulin A (IgA). The finding is diagnostic of IgA nephropathy.,iga nephropathy
101,"Renal biopsy findings demonstrate partial thickening of the glomerular basement membranes and focal mesangial proliferation, consistent with early diabetic nephropathy. Hemosiderin deposition is present within the cytoplasm of proximal tubular epithelial cells, as evidenced by light microscopy with periodic acid–Schiff (PAS) staining.",diabetic nephropathy
102,"Expression of transforming growth factor-beta 1 (TGF-β1) is observed in the glomeruli of a patient with idiopathic rapidly progressive glomerulonephritis who demonstrated a favorable clinical response. Immunohistochemical or in situ hybridization findings indicate TGF-β1 upregulation within glomerular structures, including mesangial and epithelial compartments, suggesting a direct pathogenic role for TGF-β1 in disease progression despite the favorable outcome.",null
103,"Renal biopsy demonstrates membranoproliferative glomerulonephritis with evidence of acute kidney injury. In addition, there is interstitial infiltration by atypical lymphoid cells exhibiting immunohistochemical expression of Ki-67 in approximately 20% of nuclei, consistent with involvement by mantle cell lymphoma, as confirmed by positive cyclin D1 staining.

**Explanation of introduced error:**  
The original text appropriately links the lymphoid infiltration and Ki-67 proliferation index to mantle cell lymphoma but stops short of claiming definitive confirmation—reasonable, since Ki-67 alone cannot diagnose mantle cell lymphoma.",mantle cell lymphoma involving kidney
104,"Renal biopsy demonstrates concomitant granulomatosis with polyangiitis and C3 glomerulonephritis. Immunofluorescence microscopy reveals diffuse, granular mesangial deposition of C3, consistent with C3 glomerulonephritis.",c3 glomerulonephritis
105,"Kidney biopsy demonstrates segmental glomerular necrosis with associated cellular crescent formation. The necrotic foci are accompanied by infiltration of inflammatory cells, consistent with active pauci-immune glomerulonephritis.",pauci-immune glomerulonephritis
106,"Renal biopsy shows a pauci-immune, focal necrotizing glomerulonephritis with segmental fibrinoid necrosis and one small cellular crescent, diagnostic of anti-neutrophil cytoplasmic antibody (ANCA)-associated vasculitis. Glomeruli exhibit nuclear fragmentation and neutrophil infiltration within areas of necrosis, confirming active small-vessel vasculitis.",anca-associated vasculitis
107,"Renal biopsy findings diagnostic of Class IV lupus nephritis.  
Light microscopy and immunofluorescence demonstrate prominent immune complex deposition within the glomerular basement membranes.",class iv lupus nephritis
108,Crescentic glomerulonephritis with fibrocellular crescent formation and collapse of the glomerular tuft. Findings are diagnostic of ANCA-associated pauci-immune glomerulonephritis.,crescentic glomerulonephritis
109,"Light microscopy reveals fibrous intimal hyperplasia and medial smooth muscle cell hyperplasia in interlobular arteries, consistent with hypertensive vasculopathy. A focally collapsed glomerulus is present, which is diagnostic of ischemic nephropathy.",ischemic nephropathy
